"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"15","43","7","100 %","12","8.33","0","0","1","0.06","6","4","42","2.4","77","54.54 %","Sunil Kumar","gujgiants"
"6","5","4","40 %","10","50","0","0","5","0.83","0","0","0","0","0","0","Abolfazl Maghsodloumahali","gujgiants"
"2","4","3","42.85 %","7","57.14","0","0","4","2","0","0","0","0","0","0","Gurvinder Singh","gujgiants"
"2","4","4","80 %","10","40","0","0","4","2","0","0","0","0","0","0","Harmanjit Singh","gujgiants"
"3","2","2","60 %","5","40","0","0","2","0.66","0","0","0","0","0","0","Lalit Chaudhary","gujgiants"
"13","50","9","75.7 %","107","30.84","0","0","33","2.53","1","0","17","1.23","29","58.62 %","More GB","gujgiants"
"13","75","10","73.52 %","170","43.52","1","2","74","5.69","0","0","1","0.07","7","14.28 %","Sachin Tanwar","gujgiants"
"11","32","8","74.62 %","67","41.79","3","0","28","2.54","1","0","4","0.27","4","100 %","Sonu Jaglan","gujgiants"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","Amit Kharb","gujgiants"
"11","13","3","0","0","0","0","0","0","0","2","0","13","1","29","44.82 %","Ankit","gujgiants"
"15","34","7","0","0","0","0","0","0","0","2","2","34","2.13","66","51.51 %","Parvesh Bhainswal","gujgiants"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sonu Gahlawat","gujgiants"
"13","15","4","0","0","0","0","0","0","0","1","0","15","1.07","31","48.38 %","Sumit Malik","gujgiants"
"10","6","2","0","0","0","0","0","0","0","0","0","6","0.6","23","26.08 %","Ruturaj Shivaji Koravi","gujgiants"
"4","10","6","0","0","0","0","0","0","0","0","1","10","2.5","16","62.5 %","Pankaj","gujgiants"
"15","80","11","74.22 %","194","39.17","0","2","76","5.06","0","0","4","0.26","14","28.57 %","Rohit Gulia","gujgiants"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mohammad Shazid Hossain","gujgiants"
"5","5","3","68.42 %","19","26.31","0","0","5","1","0","0","0","0","1","0","Vinod Kumar","gujgiants"
"14","35","5","93.75 %","16","12.5","0","0","2","0.14","3","1","33","2.14","70","47.14 %","Dharmaraj Cheralathan","harsteels"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Amirhossein Mohammad Maleki","harsteels"
"2","2","2","25 %","4","50","0","0","2","1","0","0","0","0","0","0","Arun Kumar HN","harsteels"
"11","53","14","70.75 %","106","48.11","1","1","51","4.63","0","0","2","0.18","8","25 %","Naveen","harsteels"
"8","37","10","80 %","60","61.66","0","1","37","4.62","0","0","0","0","4","0","Prashanth Kumar Rai","harsteels"
"6","12","5","71.42 %","35","28.57","1","0","10","1.66","0","0","2","0.33","3","66.66 %","Selvamani K","harsteels"
"1","1","1","50 %","2","50","0","0","1","1","0","0","0","0","0","0","Vikas Chhillar","harsteels"
"11","107","12","81.94 %","216","47.68","5","6","103","9.36","0","0","4","0.36","8","50 %","Vikash Kandola","harsteels"
"14","57","9","78.4 %","125","42.4","3","0","53","3.78","0","0","4","0.28","14","28.57 %","Vinay","harsteels"
"12","26","6","100 %","2","0","0","0","0","0","4","2","26","1.83","50","52 %","Ravi Kumar","harsteels"
"13","28","6","66.66 %","3","0","0","0","0","0","1","2","28","2.07","69","40.57 %","Vikas Kale","harsteels"
"12","35","6","0","0","0","0","0","0","0","0","3","35","2.91","71","49.29 %","Sunil","harsteels"
"6","4","4","0","0","0","0","0","0","0","1","0","4","0.5","15","26.66 %","Parveen","harsteels"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Subhash Narwal","harsteels"
"2","0","0","100 %","1","0","0","0","0","0","0","0","0","0","3","0","Vikram Kandola","harsteels"
"4","5","3","100 %","1","100","0","0","1","0.25","1","0","4","0.75","8","50 %","Chand Singh","harsteels"
"7","6","3","0","0","0","0","0","0","0","0","0","6","0.85","21","28.57 %","Kuldeep Singh","harsteels"
"2","0","0","66.66 %","3","0","0","0","0","0","0","0","0","0","0","0","Tin Phonchoo","harsteels"
"15","107","14","82.85 %","210","47.14","2","4","99","6.6","1","0","8","0.46","24","33.33 %","Deepak Niwas Hooda","jppinkpather"
"12","17","5","62.06 %","58","29.31","0","0","17","1.41","0","0","0","0","2","0","Ajinkya Ashok Pawar","jppinkpather"
"14","38","9","71.05 %","114","32.45","0","0","37","2.64","0","0","1","0.07","6","16.66 %","Deepak Narwal","jppinkpather"
"2","0","0","100 %","1","0","0","0","0","0","0","0","0","0","0","0","Guman Singh","jppinkpather"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lokesh Kaushik","jppinkpather"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Milinda Chathuranga","jppinkpather"
"13","27","7","75.28 %","89","28.08","0","0","25","1.92","0","0","2","0.15","5","40 %","Nilesh Salunke","jppinkpather"
"5","12","8","59.09 %","22","54.54","1","0","12","2.4","0","0","0","0","3","0","Sushil Gulia","jppinkpather"
"11","11","3","0","0","0","0","0","0","0","2","0","11","0.81","23","47.82 %","Pavan T. R.","jppinkpather"
"11","29","5","100 %","3","0","0","0","0","0","3","2","29","2.36","56","51.78 %","Amit Hooda","jppinkpather"
"3","4","3","0","0","0","0","0","0","0","1","0","4","1","10","40 %","Elavarasan A","jppinkpather"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Karamvir","jppinkpather"
"15","55","8","66.66 %","3","33.33","0","0","1","0.06","6","5","54","3.2","94","57.44 %","Sandeep Kumar Dhull","jppinkpather"
"11","9","2","100 %","2","0","0","0","0","0","3","0","9","0.54","33","27.27 %","Sunil Siddhgavali","jppinkpather"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dong Gyu Kim","jppinkpather"
"11","46","8","76.13 %","88","36.36","1","0","32","2.9","3","1","14","1","24","58.33 %","Nitin Rawal","jppinkpather"
"9","11","4","82.75 %","29","34.48","1","0","10","1.11","0","0","1","0.11","5","20 %","Sachin Narwal","jppinkpather"
"4","7","3","0","0","0","0","0","0","0","0","0","7","1.75","16","43.75 %","Santhapanaselvam","jppinkpather"
"9","24","4","100 %","1","0","0","0","0","0","3","0","24","2.33","42","57.14 %","Vishal","jppinkpather"
"15","172","26","74.4 %","293","58.7","8","9","172","11.46","0","0","0","0","2","0","Pardeep Narwal","patpirates"
"7","5","2","50 %","16","31.25","0","0","5","0.71","0","0","0","0","2","0","Ashish","patpirates"
"9","26","8","80.28 %","71","35.21","0","0","25","2.77","0","0","1","0.11","5","20 %","Jang Kun Lee","patpirates"
"15","35","9","76.69 %","103","27.18","0","0","28","1.86","2","0","7","0.33","18","38.88 %","Mohammad Esmaeil Maghsoudlou Mahalli","patpirates"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mohit","patpirates"
"15","32","5","77.19 %","57","15.78","0","0","9","0.6","7","0","23","1.06","32","71.87 %","Monu","patpirates"
"1","0","0","33.33 %","3","0","0","0","0","0","0","0","0","0","0","0","Naveen","patpirates"
"5","4","1","75 %","12","33.33","0","0","4","0.8","0","0","0","0","2","0","Purna Singh","patpirates"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Rajveersinh Pratap Rao Chavan","patpirates"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mahendra Choudhary","patpirates"
"15","35","8","75 %","4","0","0","0","0","0","2","2","35","2.2","75","46.66 %","Neeraj Kumar","patpirates"
"15","41","7","0","0","0","0","0","0","0","3","3","41","2.53","81","50.61 %","Jaideep","patpirates"
"5","4","2","100 %","1","0","0","0","0","0","0","0","4","0.8","15","26.66 %","Jawahar Dagar","patpirates"
"3","5","4","75 %","8","62.5","1","0","5","1.66","0","0","0","0","1","0","Amit Kumar","patpirates"
"15","31","5","92.3 %","26","11.53","0","0","3","0.2","6","1","28","1.46","55","50.9 %","Hadi Oshtorak","patpirates"
"3","3","3","0","0","0","0","0","0","0","1","0","3","0.66","7","42.85 %","Ravinder","patpirates"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sahil Mann","patpirates"
"15","20","6","80 %","40","20","0","0","8","0.53","0","0","12","0.8","42","28.57 %","Vikas Jaglan","patpirates"
"15","41","7","94.44 %","18","11.11","0","0","2","0.13","5","4","39","2.26","75","52 %","PO Surjeet Singh","punpaltan"
"10","31","9","66.07 %","56","28.57","0","0","16","1.6","1","0","15","1.4","31","48.38 %","Amit Kumar","punpaltan"
"4","2","2","81.81 %","11","18.18","0","0","2","0.5","0","0","0","0","3","0","Darshan Kadian","punpaltan"
"1","1","1","50 %","4","25","0","0","1","1","0","0","0","0","3","0","Emad Sedaghatnia","punpaltan"
"15","99","16","77.83 %","185","40.54","2","1","75","5","1","0","24","1.53","44","54.54 %","Manjeet","punpaltan"
"8","45","11","75.24 %","101","42.57","0","1","43","5.37","0","0","2","0.25","9","22.22 %","Nitin Tomar","punpaltan"
"11","64","11","74.59 %","122","51.63","1","1","63","5.72","0","0","1","0.09","9","11.11 %","Pankaj Mohite","punpaltan"
"5","23","10","80.7 %","57","40.35","0","1","23","4.6","0","0","0","0","2","0","Pawan Kumar Kadian","punpaltan"
"1","0","0","66.66 %","6","0","0","0","0","0","0","0","0","0","1","0","R. Sriram","punpaltan"
"7","8","3","52.38 %","21","38.09","0","0","8","1.14","0","0","0","0","1","0","Sushant Sail","punpaltan"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","Deepak Yadav","punpaltan"
"12","21","5","0","0","0","0","0","0","0","3","1","21","1.5","39","53.84 %","Jadhav Balasaheb Shahaji","punpaltan"
"9","14","4","66.66 %","6","16.66","0","0","1","0.11","1","0","13","1.33","24","54.16 %","Hadi Tajik","punpaltan"
"13","18","3","100 %","8","12.5","0","0","1","0.07","2","0","17","1.15","44","38.63 %","Shubham Shinde","punpaltan"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Anil","punpaltan"
"11","25","6","0","0","0","0","0","0","0","3","1","25","2","58","43.1 %","Girish Maruti Ernak","punpaltan"
"3","8","5","64.7 %","17","47.05","0","0","8","2.66","0","0","0","0","0","0","Amit Kumar","punpaltan"
"9","6","4","0","0","0","0","0","0","0","0","0","6","0.66","16","37.5 %","Sagar B Krishna","punpaltan"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sandeep","punpaltan"
"13","58","11","74.85 %","171","33.91","2","1","58","4.46","0","0","0","0","5","0","Ajay Thakur","tamthaliva"
"4","6","4","63.63 %","11","54.54","1","0","6","1.5","0","0","0","0","3","0","Anand","tamthaliva"
"15","101","14","74.53 %","216","43.98","0","3","95","6.33","0","0","6","0.4","21","28.57 %","Rahul Chaudhari","tamthaliva"
"11","25","5","88.31 %","77","27.27","0","0","21","1.9","0","0","4","0.36","13","30.76 %","Shabeer Bappu","tamthaliva"
"12","58","14","71.56 %","102","56.86","1","2","58","4.83","0","0","0","0","7","0","V. Ajith Kumar","tamthaliva"
"8","12","5","76.92 %","13","38.46","0","0","5","0.62","1","0","7","0.75","13","53.84 %","Vineet Sharma","tamthaliva"
"1","0","0","50 %","2","0","0","0","0","0","0","0","0","0","2","0","Yashwant Bishnoi","tamthaliva"
"14","14","3","0","0","0","0","0","0","0","1","0","14","0.92","51","27.45 %","Ajeet","tamthaliva"
"2","1","1","0","0","0","0","0","0","0","0","0","1","0.5","3","33.33 %","M. Abishek","tamthaliva"
"4","1","1","0","0","0","0","0","0","0","0","0","1","0.25","5","20 %","Ponparthiban Subramanian","tamthaliva"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","Himanshu","tamthaliva"
"14","32","5","100 %","1","0","0","0","0","0","2","1","32","2.14","64","50 %","Mohit Chhillar","tamthaliva"
"9","9","3","0","1","0","0","0","0","0","1","0","9","0.88","18","50 %","Sagar","tamthaliva"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mohammad Arif Robbani","tamthaliva"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Hemant Chauhan","tamthaliva"
"12","38","6","73.33 %","15","20","0","0","3","0.25","2","2","35","2.75","72","48.61 %","Manjeet Chhillar","tamthaliva"
"14","29","4","72.72 %","11","54.54","0","0","6","0.42","1","0","23","1.57","50","46 %","Ran Singh","tamthaliva"
"1","1","1","50 %","2","50","0","0","1","1","0","0","0","0","1","0","Victor Onyango Obiero","tamthaliva"
"14","28","4","66.66 %","6","16.66","0","0","1","0.07","2","0","27","1.78","66","40.9 %","Abozar Mohajermighani","teltitans"
"9","13","3","93.61 %","47","6.38","0","0","3","0.33","2","0","10","0.88","21","47.61 %","Amit Kumar","teltitans"
"4","7","2","53.84 %","13","46.15","0","0","6","1.5","0","0","1","0.25","1","100 %","Ankit Beniwal","teltitans"
"2","2","2","71.42 %","7","0","0","0","0","0","0","0","2","1","5","40 %","Kamal Singh","teltitans"
"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Mula Siva Ganesh Reddy","teltitans"
"3","2","1","50 %","10","20","0","0","2","0.66","0","0","0","0","1","0","Palle Mallikarjun","teltitans"
"7","18","8","75.55 %","45","37.77","0","0","17","2.42","0","0","1","0.14","4","25 %","Rajnish","teltitans"
"5","16","7","79.31 %","29","37.93","0","0","11","2.2","2","0","5","0.6","7","71.42 %","Rakesh Gowda","teltitans"
"14","116","23","71.56 %","204","55.39","2","3","113","8.07","0","0","3","0.21","5","60 %","Siddharth Sirish Desai","teltitans"
"11","44","18","71.28 %","101","42.57","1","1","43","3.9","0","0","1","0.09","7","14.28 %","Suraj Desai","teltitans"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","Aakash Dattu Arsul","teltitans"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Akash Choudhary","teltitans"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Manish","teltitans"
"14","20","6","100 %","3","66.66","0","0","2","0.14","3","1","18","1.07","43","41.86 %","C. Arun","teltitans"
"6","3","2","100 %","7","0","0","0","0","0","0","0","3","0.5","8","37.5 %","Krushna Madane","teltitans"
"14","53","8","100 %","12","0","0","0","0","0","9","5","53","3.14","81","65.43 %","Vishal Bhardwaj","teltitans"
"6","9","4","59.37 %","32","28.12","1","0","9","1.5","0","0","0","0","7","0","Armaan","teltitans"
"14","39","5","81.66 %","60","28.33","0","0","17","1.21","0","0","22","1.57","51","43.13 %","Farhad Rahimi Milaghardan","teltitans"
"15","52","6","90 %","10","20","0","0","2","0.13","3","2","50","3.13","82","60.97 %","Fazel Atrachali","umumba"
"13","77","13","80.68 %","176","43.18","1","3","76","5.84","0","0","1","0.07","10","10 %","Abhishek Singh","umumba"
"14","71","15","76.69 %","133","51.87","2","2","69","4.92","0","0","2","0.14","5","40 %","Arjun Deshwal","umumba"
"11","34","8","66.27 %","86","39.53","0","0","34","3.09","0","0","0","0","3","0","Athul MS","umumba"
