"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"21","192","17","82.01 %","367","51.77","6","9","190","9.04","0","0","2","0.09","13","15.38 %","Maninder Singh","bwarriors"
"22","124","11","77.45 %","306","40.19","2","3","123","5.59","0","0","1","0.04","17","5.88 %","K. Prapanjan","bwarriors"
"6","18","6","85.71 %","56","30.35","1","0","17","2.83","0","0","1","0.16","3","33.33 %","Rakesh Narwal","bwarriors"
"2","2","2","57.14 %","7","28.57","0","0","2","1","0","0","0","0","1","0","Ravindra Ramesh Kumawat","bwarriors"
"18","77","15","87.65 %","235","31.91","2","1","75","4.16","0","0","2","0.11","13","15.38 %","Sukesh Hegde","bwarriors"
"22","44","5","100 %","2","0","0","0","0","0","7","1","44","1.68","104","42.3 %","Jeeva Kumar","bwarriors"
"19","16","2","0","0","0","0","0","0","0","0","0","16","0.84","52","30.76 %","Viraj Vishnu Landge","bwarriors"
"13","22","7","100 %","8","12.5","0","0","1","0.07","4","1","21","1.3","34","61.76 %","Rinku Narwal","bwarriors"
"5","6","3","56 %","25","20","0","0","5","1","0","0","1","0.2","2","50 %","Mayur Shivtarkar","bwarriors"
"22","231","32","80.38 %","418","52.39","1","12","219","9.95","1","0","12","0.5","27","44.44 %","Rohit Kumar","bbulls"
"9","10","4","45.83 %","24","37.5","0","0","9","1","0","0","1","0.11","2","50 %","Pawan Kumar Sehrawat","bbulls"
"4","0","0","60 %","5","0","0","0","0","0","0","0","0","0","0","0","Sumit Singh","bbulls"
"19","41","8","74.79 %","123","26.82","0","0","33","1.73","0","0","8","0.42","29","27.58 %","Vinod Kumar","bbulls"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Raju Lal Choudhary","bbulls"
"8","6","3","66.66 %","3","33.33","0","0","1","0.12","2","0","5","0.37","12","41.66 %","Vijay Kumar","bbulls"
"22","58","10","100 %","2","50","0","0","1","0.04","5","3","57","2.36","113","50.44 %","Mahender Singh","bbulls"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sandeep","bbulls"
"4","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","Amit Sheoran","bbulls"
"20","32","6","75.71 %","70","24.28","0","0","17","0.85","1","1","15","0.7","49","30.61 %","Ashish Kumar","bbulls"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sanjay Shrestha","bbulls"
"8","9","3","0","0","0","0","0","0","0","0","0","9","1.12","24","37.5 %","Joginder Singh Narwal","ddelhi"
"11","51","11","77.86 %","122","41.8","3","1","51","4.63","0","0","0","0","4","0","Chandran Ranjit","ddelhi"
"26","39","6","100 %","1","0","0","0","0","0","3","1","39","1.38","113","34.51 %","Vishal Mane","ddelhi"
"19","54","7","83.33 %","6","33.33","0","0","2","0.1","3","3","52","2.57","104","50 %","Ravinder Pahal","ddelhi"
"5","1","1","100 %","4","0","0","0","0","0","0","0","1","0.2","3","33.33 %","Anil Kumar","ddelhi"
"17","39","10","0","0","0","0","0","0","0","6","2","39","1.94","84","46.42 %","Sombir","ddelhi"
"20","104","14","82.53 %","292","32.87","3","2","96","4.8","0","0","8","0.4","37","21.62 %","Meraj Sheykh","ddelhi"
"19","64","7","89.15 %","83","32.53","1","0","27","1.42","3","1","37","1.78","83","44.57 %","Vijay","ddelhi"
"24","58","7","96.77 %","31","3.22","0","0","1","0.04","2","3","57","2.29","101","56.43 %","Sunil Kumar","gujgiants"
"19","97","11","79.56 %","230","39.56","0","0","91","4.78","1","0","6","0.26","14","42.85 %","Abolfazl Maghsodloumahali","gujgiants"
"9","24","7","78.37 %","37","45.94","1","0","17","1.88","0","0","7","0.77","20","35 %","Gurvinder Singh","gujgiants"
"6","16","6","66.66 %","45","31.11","0","0","14","2.33","0","0","2","0.33","3","66.66 %","More GB","gujgiants"
"24","173","14","75.93 %","295","53.89","2","7","159","6.62","1","0","14","0.54","25","56 %","Sachin Tanwar","gujgiants"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Amit Kharb","gujgiants"
"24","48","5","0","0","0","0","0","0","0","4","2","48","1.83","89","53.93 %","Parvesh Bhainswal","gujgiants"
"13","16","3","50 %","6","0","0","0","0","0","0","0","16","1.23","49","32.65 %","Pankaj","gujgiants"
"19","38","9","78.12 %","160","21.87","0","0","35","1.84","0","0","3","0.15","20","15 %","Rohit Gulia","gujgiants"
"21","48","8","72 %","75","45.33","2","0","34","1.61","5","0","14","0.42","21","66.66 %","Vinod Kumar","gujgiants"
"18","25","4","100 %","15","0","0","0","0","0","1","0","25","1.33","64","39.06 %","Dharmaraj Cheralathan","harsteels"
"16","80","16","82.55 %","149","52.34","3","3","78","4.87","1","0","2","0.06","10","20 %","Prashanth Kumar Rai","harsteels"
"3","4","2","57.14 %","14","28.57","0","0","4","1.33","0","0","0","0","0","0","Selvamani K","harsteels"
"9","58","9","78.67 %","136","42.64","1","0","58","6.44","0","0","0","0","4","0","Vikash Kandola","harsteels"
"23","30","4","100 %","2","0","0","0","0","0","2","0","30","1.21","68","44.11 %","Ravi Kumar","harsteels"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Vikas Kale","harsteels"
"5","8","6","0","1","100","0","0","1","0.2","1","1","7","1.2","12","58.33 %","Kuldeep Singh","harsteels"
"24","186","17","78.88 %","360","47.77","8","7","172","7.16","1","0","14","0.54","34","41.17 %","Deepak Niwas Hooda","jppinkpather"
"16","87","11","77.54 %","187","45.45","1","4","85","5.31","0","0","2","0.12","10","20 %","Deepak Narwal","jppinkpather"
"21","105","11","83.8 %","247","39.67","2","3","98","4.66","2","0","7","0.23","18","38.88 %","Nilesh Salunke","jppinkpather"
"22","61","6","85.71 %","7","0","0","0","0","0","6","2","61","2.5","117","52.13 %","Amit Hooda","jppinkpather"
"12","16","6","100 %","2","0","0","0","0","0","1","1","16","1.25","44","36.36 %","Sunil Siddhgavali","jppinkpather"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dong Gyu Kim","jppinkpather"
"21","85","14","81.08 %","148","43.91","4","2","65","3.09","1","0","20","0.9","52","38.46 %","Nitin Rawal","jppinkpather"
"10","15","3","0","0","0","0","0","0","0","0","0","15","1.5","31","48.38 %","Santhapanaselvam","jppinkpather"
"5","11","7","57.14 %","7","28.57","0","0","2","0.4","3","1","9","1.2","23","39.13 %","Vishal","jppinkpather"
"26","369","34","80.71 %","586","62.96","18","19","369","14.19","0","0","0","0","10","0","Pardeep Narwal","patpirates"
"21","89","9","78.77 %","212","41.98","0","0","89","4.23","0","0","0","0","12","0","Jang Kun Lee","patpirates"
"19","49","6","79.22 %","77","24.67","1","0","19","1","1","1","30","1.52","54","55.55 %","Monu","patpirates"
"17","13","4","0","1","0","0","0","0","0","1","0","13","0.7","49","26.53 %","Neeraj Kumar","patpirates"
"26","71","7","100 %","5","0","0","0","0","0","5","5","71","2.53","154","46.1 %","Jaideep","patpirates"
"18","35","4","78.26 %","23","26.08","0","0","6","0.33","3","0","29","1.44","69","42.02 %","Jawahar Dagar","patpirates"
"16","20","4","0","0","0","0","0","0","0","3","0","20","1.06","55","36.36 %","Hadi Oshtorak","patpirates"
"13","13","5","76 %","25","40","1","0","10","0.76","0","0","3","0.23","9","33.33 %","Vikas Jaglan","patpirates"
"24","79","8","98.07 %","52","5.76","0","0","3","0.12","4","9","76","3","146","52.05 %","PO Surjeet Singh","punpaltan"
"16","40","8","63.88 %","72","45.83","1","0","33","2.06","3","0","7","0.25","23","30.43 %","Darshan Kadian","punpaltan"
"20","177","18","86.23 %","327","51.07","7","7","167","8.35","1","0","10","0.45","30","33.33 %","Nitin Tomar","punpaltan"
"21","122","17","75.7 %","284","42.95","2","3","122","5.8","0","0","0","0","13","0","Pawan Kumar Kadian","punpaltan"
"11","36","7","70.88 %","79","44.3","0","0","35","3.18","0","0","1","0.09","7","14.28 %","R. Sriram","punpaltan"
"4","8","4","50 %","2","0","0","0","0","0","1","0","8","1.75","19","42.1 %","Deepak Yadav","punpaltan"
"9","9","2","41.66 %","12","33.33","0","0","4","0.44","0","0","5","0.55","23","21.73 %","Hadi Tajik","punpaltan"
"21","69","8","88.88 %","18","27.77","1","0","5","0.23","3","5","64","2.9","111","57.65 %","Girish Maruti Ernak","punpaltan"
"17","33","6","90 %","10","10","0","0","1","0.05","3","3","32","1.7","62","51.61 %","Sagar B Krishna","punpaltan"
"22","222","20","81.57 %","407","52.33","3","12","213","9.68","0","0","9","0.4","25","36 %","Ajay Thakur","tamthaliva"
"22","193","17","81.06 %","412","44.66","5","8","184","8.36","0","0","9","0.4","33","27.27 %","Rahul Chaudhari","tamthaliva"
"12","38","13","80.55 %","108","32.4","0","1","35","2.91","1","0","3","0.16","14","21.42 %","Shabeer Bappu","tamthaliva"
"18","30","4","86.53 %","104","15.38","0","0","16","0.88","1","0","14","0.72","41","34.14 %","Vineet Sharma","tamthaliva"
"20","42","7","88.88 %","9","33.33","0","0","3","0.15","4","2","39","1.75","83","46.98 %","Mohit Chhillar","tamthaliva"
"15","52","9","68.96 %","29","17.24","0","0","5","0.33","1","3","47","3.06","85","55.29 %","Manjeet Chhillar","tamthaliva"
"23","64","7","81.48 %","27","44.44","0","0","12","0.52","3","2","52","2.13","112","46.42 %","Ran Singh","tamthaliva"
"24","66","5","83.33 %","6","16.66","0","0","1","0.04","2","2","65","2.62","116","56.03 %","Abozar Mohajermighani","teltitans"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Suraj Desai","teltitans"
"20","36","8","93.75 %","16","6.25","0","0","1","0.05","5","1","35","1.5","83","42.16 %","C. Arun","teltitans"
"22","71","7","80 %","5","0","0","0","0","0","3","5","71","3.09","137","51.82 %","Vishal Bhardwaj","teltitans"
"18","28","4","61.11 %","18","33.33","0","0","6","0.33","0","0","22","1.22","54","40.74 %","Farhad Rahimi Milaghardan","teltitans"
"24","57","9","81.81 %","11","0","0","0","0","0","3","4","57","2.25","99","57.57 %","Fazel Atrachali","umumba"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Athul MS","umumba"
"17","29","5","70.58 %","68","42.64","0","0","29","1.7","0","0","0","0","5","0","Dong Geon Lee","umumba"
"17","74","11","79.39 %","165","39.39","1","1","65","3.82","0","0","9","0.52","28","32.14 %","Rohit Baliyan","umumba"
"4","6","4","82.6 %","23","26.08","0","0","6","1.5","0","0","0","0","2","0","Vinoth Kumar","umumba"
"14","2","1","0","0","0","0","0","0","0","0","0","2","0.14","27","7.4 %","Young Chang Ko","umumba"
"22","58","6","100 %","3","0","0","0","0","0","0","3","58","2.63","152","38.15 %","Surinder Singh","umumba"
"21","85","9","93.16 %","117","28.2","1","0","33","1.57","3","1","52","2.33","102","50.98 %","Sandeep Narwal","umumba"
"19","47","5","100 %","2","0","0","0","0","0","1","4","47","2.42","91","51.64 %","Nitesh Kumar","upyoddha"
"4","3","2","12.5 %","8","37.5","0","0","3","0.75","0","0","0","0","1","0","Gulveer Singh","upyoddha"
"26","202","12","78.63 %","365","52.32","4","9","191","7.34","1","0","11","0.38","35","31.42 %","Monu Goyat","upyoddha"
"21","170","28","75.73 %","305","54.09","12","5","165","7.85","1","0","5","0.19","16","31.25 %","Rishank Devadiga","upyoddha"
"19","98","13","74.7 %","170","50.58","2","2","86","4.52","2","0","12","0.52","22","54.54 %","Shrikant Jadhav","upyoddha"
"18","70","11","73.28 %","131","51.9","2","2","68","3.77","0","0","2","0.11","23","8.69 %","Surender Singh","upyoddha"
"16","47","12","75.9 %","83","49.39","2","1","41","2.56","1","0","6","0.31","16","37.5 %","Mohsen Maghsoudloujafari","upyoddha"
"9","7","5","71.42 %","7","14.28","0","0","1","0.11","0","1","6","0.66","24","25 %","Sachin Kumar","upyoddha"
