"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"22","206","17","79.52 %","376","54.78","6","9","206","9.36","0","0","0","0","5","0","Maninder Singh","bwarriors"
"22","123","12","78.03 %","255","47.84","1","4","122","5.54","0","0","1","0.04","11","9.09 %","K. Prapanjan","bwarriors"
"6","10","3","58.82 %","17","52.94","1","0","9","1.5","0","0","1","0.16","3","33.33 %","Rakesh Narwal","bwarriors"
"12","42","8","78.02 %","91","40.65","2","0","37","3.08","0","0","5","0.41","18","27.77 %","Ravindra Ramesh Kumawat","bwarriors"
"17","71","9","82.38 %","176","38.63","3","0","68","4","1","0","3","0.11","19","15.78 %","Sukesh Hegde","bwarriors"
"18","28","5","0","1","100","0","0","1","0.05","3","1","27","1.33","70","38.57 %","Baldev Singh","bwarriors"
"19","40","5","100 %","1","0","0","0","0","0","4","1","40","1.89","90","44.44 %","Jeeva Kumar","bwarriors"
"7","6","2","0","0","0","0","0","0","0","0","0","6","0.85","29","20.68 %","Viraj Vishnu Landge","bwarriors"
"10","14","4","100 %","1","200","0","0","2","0.2","3","0","12","0.9","23","52.17 %","Adarsh T","bwarriors"
"15","21","5","71.42 %","7","14.28","0","0","1","0.06","1","0","20","1.26","51","39.21 %","Rinku Narwal","bwarriors"
"18","23","3","77.77 %","36","11.11","0","0","4","0.22","0","0","19","1.05","65","29.23 %","Mayur Shivtarkar","bwarriors"
"24","171","16","81.23 %","341","47.5","5","5","162","6.75","0","1","9","0.37","30","30 %","Rohit Kumar","bbulls"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lal Mohar Yadav","bbulls"
"24","282","22","77.33 %","375","72.26","12","13","271","11.29","0","0","11","0.45","40","27.5 %","Pawan Kumar Sehrawat","bbulls"
"8","15","4","77.77 %","27","40.74","0","0","11","1.37","0","0","4","0.5","10","40 %","Sumit Singh","bbulls"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Vinod Kumar","bbulls"
"16","20","3","0","0","0","0","0","0","0","0","0","20","1.25","55","36.36 %","Raju Lal Choudhary","bbulls"
"4","3","2","100 %","2","100","0","0","2","0.5","0","0","1","0.25","11","9.09 %","Vijay Kumar","bbulls"
"24","63","6","80 %","10","0","0","0","0","0","1","6","63","2.58","122","51.63 %","Mahender Singh","bbulls"
"10","16","4","50 %","2","0","0","0","0","0","3","0","16","1.3","34","47.05 %","Sandeep","bbulls"
"7","4","2","0","0","0","0","0","0","0","0","0","4","0.57","14","28.57 %","Ajay","bbulls"
"15","38","5","0","0","0","0","0","0","0","2","2","38","2.4","71","53.52 %","Amit Sheoran","bbulls"
"6","3","1","100 %","2","0","0","0","0","0","0","0","3","0.5","11","27.27 %","Ankit","bbulls"
