"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"93","392","15","79.08 %","856","39.48","17","6","338","3.63","6","0","54","0.51","146","36.98 %","Meraj Sheykh","ddelhi"
"53","159","8","83.76 %","234","43.16","2","0","101","1.9","4","1","58","1.01","153","37.9 %","Vijay","ddelhi"
"65","178","8","97.33 %","75","4","0","0","3","0.04","12","10","175","2.5","322","54.34 %","Sunil Kumar","gujgiants"
"47","152","11","75.56 %","356","40.44","4","0","144","3.06","1","0","8","0.14","22","36.36 %","Abolfazl Maghsodloumahali","gujgiants"
"45","100","11","74.66 %","225","36.44","2","1","82","1.82","1","0","18","0.37","65","27.69 %","Gurvinder Singh","gujgiants"
"2","4","4","80 %","10","40","0","0","4","2","0","0","0","0","0","0","Harmanjit Singh","gujgiants"
"6","9","5","50 %","12","41.66","0","0","5","0.83","1","0","4","0.5","4","100 %","Lalit Chaudhary","gujgiants"
"41","157","13","72.22 %","324","38.88","1","2","126","3.07","3","0","31","0.68","53","58.49 %","More GB","gujgiants"
"60","452","14","76.41 %","831","50.9","4","16","423","7.05","3","0","29","0.43","54","53.7 %","Sachin Tanwar","gujgiants"
"11","32","8","74.62 %","67","41.79","3","0","28","2.54","1","0","4","0.27","4","100 %","Sonu Jaglan","gujgiants"
"8","2","2","0","0","0","0","0","0","0","1","0","2","0.12","10","20 %","Amit Kharb","gujgiants"
"11","13","3","0","0","0","0","0","0","0","2","0","13","1","29","44.82 %","Ankit","gujgiants"
"71","171","8","100 %","1","0","0","0","0","0","10","9","171","2.26","310","55.16 %","Parvesh Bhainswal","gujgiants"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sonu Gahlawat","gujgiants"
"13","15","4","0","0","0","0","0","0","0","1","0","15","1.07","31","48.38 %","Sumit Malik","gujgiants"
"33","53","5","100 %","3","0","0","0","0","0","3","1","53","1.51","144","36.8 %","Ruturaj Shivaji Koravi","gujgiants"
"18","27","6","50 %","6","0","0","0","0","0","0","1","27","1.5","68","39.7 %","Pankaj","gujgiants"
"53","179","11","76.48 %","506","33.39","2","2","169","3.18","0","0","10","0.18","53","18.86 %","Rohit Gulia","gujgiants"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mohammad Shazid Hossain","gujgiants"
"43","104","8","76.54 %","162","37.65","2","0","61","1.41","9","2","43","0.79","65","66.15 %","Vinod Kumar","gujgiants"
"113","291","9","94.25 %","174","24.13","0","0","42","0.37","24","12","249","1.99","461","54.01 %","Dharmaraj Cheralathan","harsteels"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Amirhossein Mohammad Maleki","harsteels"
"4","3","2","33.33 %","9","33.33","0","0","3","0.75","0","0","0","0","1","0","Arun Kumar HN","harsteels"
"32","155","17","74.91 %","299","46.48","5","2","139","4.34","2","0","16","0.43","51","31.37 %","Naveen","harsteels"
"89","358","16","80.84 %","663","52.63","8","11","349","3.92","3","0","9","0.06","45","20 %","Prashanth Kumar Rai","harsteels"
"55","155","11","79.03 %","353","42.2","7","2","149","2.7","0","0","6","0.1","28","21.42 %","Selvamani K","harsteels"
"1","1","1","50 %","2","50","0","0","1","1","0","0","0","0","0","0","Vikas Chhillar","harsteels"
"46","345","15","78.77 %","716","46.92","11","12","336","7.3","0","0","9","0.19","32","28.12 %","Vikash Kandola","harsteels"
"14","57","9","78.4 %","125","42.4","3","0","53","3.78","0","0","4","0.28","14","28.57 %","Vinay","harsteels"
"87","142","8","88.23 %","34","0","0","0","0","0","18","7","142","1.42","308","46.1 %","Ravi Kumar","harsteels"
"54","88","6","90.9 %","11","0","0","0","0","0","7","4","88","1.5","246","35.77 %","Vikas Kale","harsteels"
"34","76","6","100 %","3","0","0","0","0","0","0","5","76","2.23","193","39.37 %","Sunil","harsteels"
"25","32","6","85.71 %","7","42.85","0","0","3","0.12","6","1","29","0.92","75","38.66 %","Parveen","harsteels"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Subhash Narwal","harsteels"
"3","1","1","100 %","1","0","0","0","0","0","0","0","1","0.33","9","11.11 %","Vikram Kandola","harsteels"
"4","5","3","100 %","1","100","0","0","1","0.25","1","0","4","0.75","8","50 %","Chand Singh","harsteels"
"34","63","6","66.66 %","3","33.33","0","0","1","0.02","5","3","62","1.67","138","44.92 %","Kuldeep Singh","harsteels"
"3","0","0","66.66 %","3","0","0","0","0","0","0","0","0","0","0","0","Tin Phonchoo","harsteels"
"118","892","20","81.44 %","1671","48.41","20","28","809","6.85","7","4","83","0.64","228","36.4 %","Deepak Niwas Hooda","jppinkpather"
"29","92","9","70.58 %","221","39.81","1","0","88","3.03","1","0","4","0.1","15","26.66 %","Ajinkya Ashok Pawar","jppinkpather"
"78","306","15","74.28 %","700","41.85","4","8","293","3.75","1","0","13","0.15","45","28.88 %","Deepak Narwal","jppinkpather"
"2","0","0","100 %","1","0","0","0","0","0","0","0","0","0","0","0","Guman Singh","jppinkpather"
"6","4","2","54.54 %","11","18.18","0","0","2","0.33","0","0","2","0.33","3","66.66 %","Lokesh Kaushik","jppinkpather"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Milinda Chathuranga","jppinkpather"
"75","289","11","77.87 %","696","39.51","8","4","275","3.66","2","0","14","0.16","57","24.56 %","Nilesh Salunke","jppinkpather"
"5","12","8","59.09 %","22","54.54","1","0","12","2.4","0","0","0","0","3","0","Sushil Gulia","jppinkpather"
"11","11","3","0","0","0","0","0","0","0","2","0","11","0.81","23","47.82 %","Pavan T. R.","jppinkpather"
"83","231","8","81.13 %","53","16.98","0","0","9","0.1","18","11","222","2.45","415","53.49 %","Amit Hooda","jppinkpather"
"3","4","3","0","0","0","0","0","0","0","1","0","4","1","10","40 %","Elavarasan A","jppinkpather"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Karamvir","jppinkpather"
"59","189","8","60 %","5","20","0","0","1","0.01","17","13","188","2.89","350","53.71 %","Sandeep Kumar Dhull","jppinkpather"
"39","63","8","89.47 %","19","26.31","0","0","5","0.12","7","5","58","1.3","158","36.7 %","Sunil Siddhgavali","jppinkpather"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dong Gyu Kim","jppinkpather"
"41","162","14","79.18 %","293","41.63","6","2","122","2.97","5","1","40","0.85","87","45.97 %","Nitin Rawal","jppinkpather"
