"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"4","2","1","16.66 %","6","33.33","0","0","2","0.5","0","0","0","0","2","0","K. Prapanjan","bwarriors"
"1","0","0","75 %","4","0","0","0","0","0","0","0","0","0","1","0","Rakesh Narwal","bwarriors"
"13","64","9","80.13 %","146","41.78","0","0","61","4.69","1","0","3","0.15","16","18.75 %","Sukesh Hegde","bwarriors"
"16","31","4","0","0","0","0","0","0","0","1","0","31","1.87","62","50 %","Jeeva Kumar","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dharmendra Singh","bwarriors"
"12","109","16","84.26 %","178","57.3","4","5","102","8.5","0","0","7","0.58","14","50 %","Rohit Kumar","bbulls"
"13","53","7","64.54 %","110","40.9","1","0","45","3.46","2","0","8","0.46","17","47.05 %","Pawan Kumar Sehrawat","bbulls"
"1","1","1","0","0","0","0","0","0","0","0","0","1","1","3","33.33 %","Raju Lal Choudhary","bbulls"
"3","3","3","0","0","0","0","0","0","0","0","0","3","1","10","30 %","Sandeep","bbulls"
"13","32","7","84.21 %","19","36.84","0","0","7","0.53","0","1","25","1.92","61","40.98 %","Ashish Kumar","bbulls"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sanjay Shrestha","bbulls"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Joginder Singh Narwal","ddelhi"
"13","16","3","0","0","0","0","0","0","0","0","0","16","1.23","35","45.71 %","Vishal Mane","ddelhi"
"11","34","9","88.23 %","34","23.52","0","0","8","0.72","4","2","26","2","58","44.82 %","Ravinder Pahal","ddelhi"
"11","21","4","80 %","15","13.33","0","0","2","0.18","0","0","19","1.72","51","37.25 %","Anil Kumar","ddelhi"
"14","48","11","71.42 %","70","38.57","0","0","27","1.92","3","0","21","1.28","38","55.26 %","Meraj Sheykh","ddelhi"
"3","0","0","50 %","2","0","0","0","0","0","0","0","0","0","0","0","Abolfazl Maghsodloumahali","gujgiants"
"5","6","4","83.33 %","12","33.33","0","0","4","0.8","0","0","2","0.4","5","40 %","Gurvinder Singh","gujgiants"
"14","37","8","80 %","20","30","0","0","6","0.42","3","2","31","2","58","53.44 %","Dharmaraj Cheralathan","harsteels"
"13","12","3","68.57 %","35","34.28","0","0","12","0.92","0","0","0","0","4","0","Prashanth Kumar Rai","harsteels"
"8","39","10","83.69 %","92","41.3","1","1","38","4.75","0","0","1","0.12","6","16.66 %","Selvamani K","harsteels"
"12","9","2","0","1","0","0","0","0","0","1","0","9","0.66","24","37.5 %","Ravi Kumar","harsteels"
"9","12","3","0","0","0","0","0","0","0","0","0","12","1.33","34","35.29 %","Vikas Kale","harsteels"
"12","76","13","82.16 %","157","43.94","0","1","69","5.75","0","0","7","0.58","21","33.33 %","Deepak Niwas Hooda","jppinkpather"
"9","33","15","82.75 %","58","53.44","0","1","31","3.44","1","0","2","0.11","5","40 %","Deepak Narwal","jppinkpather"
"7","10","5","75 %","20","50","1","0","10","1.42","0","0","0","0","3","0","Nilesh Salunke","jppinkpather"
"4","11","3","100 %","4","0","0","0","0","0","0","0","11","2.75","27","40.74 %","Amit Hooda","jppinkpather"
"10","32","6","0","1","0","0","0","0","0","6","2","32","2.6","61","52.45 %","Sandeep Kumar Dhull","jppinkpather"
"16","121","24","75.93 %","187","62.03","10","5","116","7.25","0","0","5","0.31","13","38.46 %","Pardeep Narwal","patpirates"
"15","90","13","83.15 %","184","42.93","2","2","79","5.26","2","0","11","0.6","20","55 %","Jang Kun Lee","patpirates"
"10","18","4","0","1","0","0","0","0","0","1","0","18","1.7","40","45 %","Hadi Oshtorak","patpirates"
"12","49","9","100 %","6","16.66","0","0","1","0.08","1","5","48","3.91","75","64 %","PO Surjeet Singh","punpaltan"
"2","2","2","0","1","0","0","0","0","0","0","0","2","1","8","25 %","Darshan Kadian","punpaltan"
"10","81","13","84.37 %","160","48.12","1","2","77","7.7","1","0","4","0.3","11","36.36 %","Nitin Tomar","punpaltan"
"5","6","3","80 %","25","24","0","0","6","1.2","0","0","0","0","2","0","Pawan Kumar Kadian","punpaltan"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Hadi Tajik","punpaltan"
"11","34","5","94.11 %","17","5.88","0","0","1","0.09","0","3","33","3","65","50.76 %","Girish Maruti Ernak","punpaltan"
"14","56","11","77.02 %","148","35.13","2","1","52","3.71","0","0","4","0.28","9","44.44 %","Ajay Thakur","tamthaliva"
"13","99","17","79.8 %","208","41.82","1","4","87","6.69","2","0","12","0.76","29","41.37 %","Rahul Chaudhari","tamthaliva"
"10","13","4","71.64 %","67","19.4","0","0","13","1.3","0","0","0","0","4","0","Shabeer Bappu","tamthaliva"
"4","9","6","78.37 %","37","21.62","0","0","8","2","0","0","1","0.25","4","25 %","Vineet Sharma","tamthaliva"
"13","46","6","100 %","3","0","0","0","0","0","2","6","46","3.38","74","62.16 %","Mohit Chhillar","tamthaliva"
"15","106","13","91.81 %","171","26.31","2","0","45","3","5","5","61","3.73","99","61.61 %","Manjeet Chhillar","tamthaliva"
"14","41","5","75.43 %","57","35.08","2","0","20","1.42","0","0","21","1.5","52","40.38 %","Ran Singh","tamthaliva"
"11","18","7","77.77 %","9","11.11","0","0","1","0.09","5","1","17","1.09","35","48.57 %","C. Arun","teltitans"
"1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","Krushna Madane","teltitans"
"11","33","6","50 %","2","50","0","0","1","0.09","0","2","32","2.9","46","69.56 %","Fazel Atrachali","umumba"
