"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"16","137","13","76 %","175","74.28","3","5","130","8.12","1","0","7","0.37","19","36.84 %","Maninder Singh","bwarriors"
"14","83","9","81.53 %","130","60.76","3","0","79","5.64","0","0","4","0.28","21","19.04 %","Sukesh Hegde","bwarriors"
"9","16","4","0","0","0","0","0","0","0","0","0","16","1.77","31","51.61 %","Jeeva Kumar","bwarriors"
"5","2","2","0","0","0","0","0","0","0","0","0","2","0.4","12","16.66 %","Raju Lal Choudhary","bbulls"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sanjay Shrestha","bbulls"
"6","6","4","60 %","20","30","0","0","6","1","0","0","0","0","6","0","Chandran Ranjit","ddelhi"
"16","20","5","0","0","0","0","0","0","0","1","1","20","1.18","65","30.76 %","Vishal Mane","ddelhi"
"9","29","7","0","0","0","0","0","0","0","0","3","29","3.22","64","45.31 %","Ravinder Pahal","ddelhi"
"7","13","5","61.11 %","18","50","0","0","9","1.28","1","0","4","0.42","13","30.76 %","Gurvinder Singh","gujgiants"
"16","52","7","93.54 %","31","41.93","0","0","13","0.81","5","2","39","2.12","69","56.52 %","Dharmaraj Cheralathan","harsteels"
"7","5","2","76.92 %","13","38.46","0","0","5","0.71","0","0","0","0","8","0","Prashanth Kumar Rai","harsteels"
"14","89","18","78.37 %","148","58.78","3","3","87","6.21","0","0","2","0.14","22","9.09 %","Deepak Niwas Hooda","jppinkpather"
"11","57","15","71.08 %","83","66.26","5","2","55","5","0","0","2","0.18","14","14.28 %","Jang Kun Lee","patpirates"
"10","44","14","72.41 %","87","49.42","0","1","43","4.3","0","0","1","0.1","7","14.28 %","Pawan Kumar Kadian","punpaltan"
"12","25","6","83.33 %","6","33.33","0","0","2","0.16","1","1","23","1.83","70","32.85 %","Girish Maruti Ernak","punpaltan"
"15","127","16","74.56 %","228","53.5","2","5","122","8.13","0","0","5","0.33","18","27.77 %","Ajay Thakur","tamthaliva"
"14","161","23","82.15 %","241","62.65","2","8","151","10.78","1","0","10","0.64","31","32.25 %","Rahul Chaudhari","tamthaliva"
"10","67","15","89.91 %","119","55.46","2","3","66","6.6","0","0","1","0.1","13","7.69 %","Shabeer Bappu","tamthaliva"
"16","36","8","100 %","1","100","0","0","1","0.06","5","2","35","1.87","89","39.32 %","Mohit Chhillar","tamthaliva"
"16","122","14","71.75 %","177","40.11","2","2","71","4.43","0","3","51","3.18","84","60.71 %","Manjeet Chhillar","tamthaliva"
"10","36","8","68.75 %","16","68.75","1","0","11","1.1","2","1","25","2.3","41","60.97 %","Ran Singh","tamthaliva"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Vinoth Kumar","umumba"
"14","19","4","0","0","0","0","0","0","0","1","0","19","1.28","55","34.54 %","Rajaguru Subramanian","umumba"
"16","119","14","80.45 %","174","52.87","8","1","92","5.75","6","2","27","1.31","41","65.85 %","Sandeep Narwal","umumba"
"16","77","9","65.57 %","122","52.45","2","0","64","4","0","0","13","0.81","34","38.23 %","Rishank Devadiga","upyoddha"
