"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"16","130","17","85.92 %","277","45.48","2","2","126","7.87","0","0","4","0.25","28","14.28 %","Deepak Niwas Hooda","jppinkpather"
"6","13","5","68.51 %","54","24.07","1","0","13","2.16","0","0","0","0","1","0","Deepak Narwal","jppinkpather"
"15","62","10","75.53 %","139","43.88","1","1","61","4.06","0","0","1","0.06","10","10 %","Nilesh Salunke","jppinkpather"
"16","53","6","0","2","100","0","0","2","0.12","4","3","51","2.93","89","57.3 %","Amit Hooda","jppinkpather"
"12","35","8","0","0","0","0","0","0","0","0","2","35","2.91","67","52.23 %","Sandeep Kumar Dhull","jppinkpather"
"16","133","18","76.04 %","263","49.8","3","5","131","8.18","1","0","2","0.06","6","33.33 %","Pardeep Narwal","patpirates"
"11","65","13","76.66 %","120","50.83","2","2","61","5.54","0","0","4","0.36","17","23.52 %","Jang Kun Lee","patpirates"
"6","2","1","0","2","0","0","0","0","0","0","0","2","0.33","12","16.66 %","Jawahar Dagar","patpirates"
"7","13","5","0","1","100","0","0","1","0.14","3","1","12","1.28","21","57.14 %","Hadi Oshtorak","patpirates"
"14","37","5","100 %","3","0","0","0","0","0","4","2","37","2.35","73","50.68 %","PO Surjeet Singh","punpaltan"
"12","34","7","74.1 %","112","29.46","1","0","33","2.75","0","0","1","0.08","8","12.5 %","Nitin Tomar","punpaltan"
"9","21","6","75.75 %","66","30.3","0","0","20","2.22","0","0","1","0.11","7","14.28 %","Pawan Kumar Kadian","punpaltan"
"1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","100 %","Hadi Tajik","punpaltan"
"12","25","5","100 %","13","0","0","0","0","0","2","1","25","1.91","58","43.1 %","Girish Maruti Ernak","punpaltan"
"11","6","2","0","0","0","0","0","0","0","0","0","6","0.54","16","37.5 %","Sagar B Krishna","punpaltan"
"16","64","12","78.06 %","155","40.64","5","1","63","3.93","0","0","1","0.06","8","12.5 %","Ajay Thakur","tamthaliva"
"16","150","18","86.15 %","325","44.92","6","7","146","9.12","1","0","4","0.18","11","36.36 %","Rahul Chaudhari","tamthaliva"
"12","35","10","90 %","100","24","1","0","24","2","5","1","11","0.5","19","57.89 %","Shabeer Bappu","tamthaliva"
"14","50","8","87.5 %","8","37.5","0","0","3","0.21","3","4","47","3.14","87","54.02 %","Mohit Chhillar","tamthaliva"
"12","68","11","75.32 %","77","31.16","1","0","24","2","1","5","44","3.58","73","60.27 %","Manjeet Chhillar","tamthaliva"
"16","33","4","100 %","9","55.55","0","0","5","0.31","1","0","28","1.68","62","45.16 %","Ran Singh","tamthaliva"
"14","15","3","100 %","2","0","0","0","0","0","1","0","15","1","40","37.5 %","C. Arun","teltitans"
"2","7","5","100 %","1","100","0","0","1","0.5","0","0","6","3","15","40 %","Vishal Bhardwaj","teltitans"
"16","52","8","100 %","1","0","0","0","0","0","7","4","52","2.81","72","72.22 %","Fazel Atrachali","umumba"
"4","8","7","57.14 %","14","57.14","0","0","8","2","0","0","0","0","1","0","Athul MS","umumba"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Rohit Baliyan","umumba"
"3","8","4","58.33 %","24","33.33","0","0","8","2.66","0","0","0","0","1","0","Vinoth Kumar","umumba"
"16","66","7","89.77 %","88","27.27","0","0","24","1.5","2","3","42","2.5","83","50.6 %","Sandeep Narwal","umumba"
"13","63","11","75.59 %","168","35.11","0","0","59","4.53","1","0","4","0.23","13","30.76 %","Monu Goyat","upyoddha"
"14","70","11","70.21 %","141","49.64","2","2","70","5","0","0","0","0","17","0","Rishank Devadiga","upyoddha"
"5","7","5","68.75 %","16","43.75","0","0","7","1.4","0","0","0","0","3","0","Shrikant Jadhav","upyoddha"
"11","11","3","58.13 %","43","20.93","0","0","9","0.81","0","0","2","0.18","8","25 %","Surender Singh","upyoddha"
