"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"11","12","3","69.04 %","42","28.57","0","0","12","1.09","0","0","0","0","1","0","K. Prapanjan","bwarriors"
"2","3","2","62.5 %","8","25","0","0","2","1","0","0","1","0.5","1","100 %","Ravindra Ramesh Kumawat","bwarriors"
"9","7","3","78.94 %","38","18.42","0","0","7","0.77","0","0","0","0","7","0","Sukesh Hegde","bwarriors"
"14","26","4","0","0","0","0","0","0","0","2","0","26","1.71","62","41.93 %","Jeeva Kumar","bwarriors"
"14","100","11","77.77 %","234","39.74","3","1","93","6.64","1","0","7","0.42","16","43.75 %","Rohit Kumar","bbulls"
"10","11","4","48.48 %","33","33.33","0","0","11","1.1","0","0","0","0","1","0","Pawan Kumar Sehrawat","bbulls"
"5","9","4","70 %","20","35","0","0","7","1.4","1","0","2","0.2","5","40 %","Sumit Singh","bbulls"
"9","20","5","77.04 %","61","31.14","0","0","19","2.11","0","0","1","0.11","6","16.66 %","Vinod Kumar","bbulls"
"14","37","7","81.25 %","48","29.16","0","0","14","1","6","1","23","1.21","44","52.27 %","Ashish Kumar","bbulls"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sanjay Shrestha","bbulls"
"16","38","6","100 %","6","66.66","0","0","4","0.25","2","0","34","2","69","49.27 %","Joginder Singh Narwal","ddelhi"
"14","31","6","0","1","0","0","0","0","0","3","2","31","2","66","46.96 %","Vishal Mane","ddelhi"
"14","37","6","0","0","0","0","0","0","0","2","3","37","2.5","72","51.38 %","Ravinder Pahal","ddelhi"
"4","2","2","100 %","2","0","0","0","0","0","0","0","2","0.5","7","28.57 %","Anil Kumar","ddelhi"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Sombir","ddelhi"
"14","75","11","85.39 %","178","35.39","4","0","63","4.5","3","0","12","0.64","30","40 %","Meraj Sheykh","ddelhi"
"1","1","1","100 %","2","50","0","0","1","1","0","0","0","0","4","0","Sunil Kumar","gujgiants"
"9","25","9","62.16 %","37","67.56","2","0","25","2.77","0","0","0","0","1","0","Abolfazl Maghsodloumahali","gujgiants"
"6","4","1","76.47 %","17","23.52","0","0","4","0.66","0","0","0","0","5","0","Gurvinder Singh","gujgiants"
"7","3","2","0","0","0","0","0","0","0","0","0","3","0.42","17","17.64 %","Parvesh Bhainswal","gujgiants"
"14","41","9","100 %","28","7.14","0","0","2","0.14","8","4","39","2.21","63","61.9 %","Dharmaraj Cheralathan","harsteels"
"9","19","10","76.92 %","39","48.71","2","1","19","2.11","0","0","0","0","0","0","Prashanth Kumar Rai","harsteels"
"13","45","7","82.07 %","106","42.45","1","0","45","3.46","0","0","0","0","8","0","Selvamani K","harsteels"
"4","3","3","70.58 %","17","17.64","0","0","3","0.75","0","0","0","0","2","0","Vikash Kandola","harsteels"
"5","0","0","100 %","5","0","0","0","0","0","0","0","0","0","9","0","Ravi Kumar","harsteels"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Vikas Kale","harsteels"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tin Phonchoo","harsteels"
