"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"12","26","5","85.71 %","35","14.28","0","0","5","0.41","1","0","21","1.66","41","51.21 %","Amit Hooda","jppinkpather"
"6","9","4","68.42 %","38","23.68","1","0","9","1.5","0","0","0","0","2","0","Pardeep Narwal","patpirates"
"14","50","12","72.85 %","140","34.28","3","1","48","3.42","0","0","2","0.14","15","13.33 %","Jang Kun Lee","patpirates"
"4","7","5","0","1","0","0","0","0","0","1","1","7","1.5","13","53.84 %","Hadi Oshtorak","patpirates"
"10","16","7","61.9 %","42","38.09","1","0","16","1.6","0","0","0","0","1","0","Pawan Kumar Kadian","punpaltan"
"13","27","5","100 %","5","0","0","0","0","0","1","1","27","2","66","40.9 %","Girish Maruti Ernak","punpaltan"
"13","80","12","71.05 %","190","41.57","6","2","79","6.07","0","0","1","0.07","6","16.66 %","Ajay Thakur","tamthaliva"
"14","107","14","83.06 %","183","53.55","6","5","98","7","0","0","9","0.64","34","26.47 %","Rahul Chaudhari","tamthaliva"
"10","47","10","79.83 %","124","37.09","2","1","46","4.6","0","0","1","0.1","6","16.66 %","Shabeer Bappu","tamthaliva"
"8","10","4","71.42 %","56","14.28","0","0","8","1","0","0","2","0.25","12","16.66 %","Vineet Sharma","tamthaliva"
"14","42","5","100 %","5","0","0","0","0","0","3","3","42","2.78","72","58.33 %","Mohit Chhillar","tamthaliva"
"16","107","11","85.25 %","217","30.87","0","0","67","4.18","1","3","40","2.43","78","51.28 %","Manjeet Chhillar","tamthaliva"
"14","44","9","85.71 %","35","37.14","0","0","13","0.92","4","1","31","1.92","53","58.49 %","Ran Singh","tamthaliva"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Suraj Desai","teltitans"
"8","11","3","0","0","0","0","0","0","0","1","0","11","1.25","23","47.82 %","C. Arun","teltitans"
"5","12","7","75 %","4","25","0","0","1","0.2","2","1","11","1.8","13","84.61 %","Fazel Atrachali","umumba"
"5","12","7","76 %","25","48","0","0","12","2.4","0","0","0","0","4","0","Rohit Baliyan","umumba"
"2","0","0","33.33 %","3","0","0","0","0","0","0","0","0","0","0","0","Vinoth Kumar","umumba"
"12","18","3","50 %","2","50","0","0","1","0.08","2","0","17","1.25","42","40.47 %","Rajaguru Subramanian","umumba"
"16","83","11","81.5 %","146","31.5","1","0","46","2.87","3","2","37","2.12","71","52.11 %","Sandeep Narwal","umumba"
"13","58","8","67.5 %","120","36.66","0","0","44","3.38","0","0","14","1.07","26","53.84 %","Rishank Devadiga","upyoddha"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shrikant Jadhav","upyoddha"
"2","8","6","62.5 %","16","31.25","0","0","5","2.5","0","0","3","1.5","6","50 %","Surender Singh","upyoddha"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sachin Kumar","upyoddha"
