"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Maninder Singh","bwarriors"
"4","7","3","71.42 %","14","35.71","0","0","5","1.25","0","0","2","0.5","5","40 %","K. Prapanjan","bwarriors"
"11","21","5","77.08 %","48","43.75","2","0","21","1.9","0","0","0","0","6","0","Rakesh Narwal","bwarriors"
"13","64","9","83.45 %","133","46.61","5","0","62","4.76","0","0","2","0.15","13","15.38 %","Sukesh Hegde","bwarriors"
"13","39","9","100 %","1","100","0","0","1","0.07","7","3","38","2.38","58","65.51 %","Jeeva Kumar","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dharmendra Singh","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Raju Lal Choudhary","bbulls"
"5","5","4","90 %","10","20","0","0","2","0.4","1","0","3","0.4","10","30 %","Ashish Kumar","bbulls"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sanjay Shrestha","bbulls"
"14","30","4","0","0","0","0","0","0","0","0","0","30","2.14","58","51.72 %","Joginder Singh Narwal","ddelhi"
"1","1","1","62.5 %","8","0","0","0","0","0","0","0","1","1","2","50 %","Chandran Ranjit","ddelhi"
"14","26","5","0","0","0","0","0","0","0","0","1","26","1.85","53","49.05 %","Vishal Mane","ddelhi"
"14","64","9","82.35 %","17","23.52","0","0","4","0.28","7","5","60","3.78","96","62.5 %","Ravinder Pahal","ddelhi"
"15","38","11","62.79 %","43","67.44","3","1","29","1.93","0","0","9","0.6","23","39.13 %","Meraj Sheykh","ddelhi"
"16","49","11","76.11 %","134","32.83","1","1","44","2.75","0","0","5","0.31","22","22.72 %","Gurvinder Singh","gujgiants"
"15","61","9","95.23 %","42","45.23","0","0","19","1.26","1","2","42","2.73","68","61.76 %","Dharmaraj Cheralathan","harsteels"
"15","58","10","82.07 %","106","50.94","1","1","54","3.6","1","0","4","0.2","10","40 %","Prashanth Kumar Rai","harsteels"
"10","14","5","79.16 %","24","58.33","1","0","14","1.4","0","0","0","0","2","0","Selvamani K","harsteels"
"13","37","8","86.36 %","22","0","0","0","0","0","4","3","37","2.53","61","60.65 %","Ravi Kumar","harsteels"
"8","9","5","100 %","4","0","0","0","0","0","3","1","9","0.75","24","37.5 %","Vikas Kale","harsteels"
"15","96","14","82.35 %","153","39.21","1","1","60","4","4","3","36","2.13","61","59.01 %","Deepak Niwas Hooda","jppinkpather"
"16","61","10","70.74 %","147","38.77","1","0","57","3.56","0","0","4","0.25","14","28.57 %","Deepak Narwal","jppinkpather"
